Day,Radiation,Temperature,Pressure,Humidity,Speed,WindDirection(Degrees)
1,51.85,44.4,30.41,94.7,7.83,136.4
2,30.5,45.0,30.37,93.0,6.89,152.0
3,59.48,45.0,30.32,93.0,5.11,205.06
4,44.96,45.0,30.35,93.0,4.05,142.98
5,40.87,45.0,30.35,93.0,4.17,228.82
8,127.19,53.53,30.37,78.94,4.29,112.14
9,54.18,50.02,30.39,88.16,4.29,246.39
10,49.99,49.86,30.4,97.92,2.46,150.21
11,111.76,49.61,30.39,99.43,4.79,235.1
12,73.66,48.74,30.35,98.59,6.52,226.76
13,215.36,45.38,30.3,87.79,9.2,246.22
14,235.74,45.07,30.28,63.04,7.45,249.81
15,122.47,44.52,30.25,90.53,8.56,279.02
16,239.8,46.85,30.23,62.23,13.8,183.18
17,117.51,47.36,30.27,82.31,5.74,161.53
18,27.15,46.25,30.38,97.44,5.99,209.73
19,122.11,50.5,30.51,86.62,5.78,148.1
20,222.22,50.58,30.51,73.11,6.65,136.61
21,233.52,50.52,30.43,69.99,6.56,118.3
22,237.34,51.02,30.43,52.64,8.12,134.72
23,237.48,51.21,30.46,44.49,8.2,132.86
24,239.84,50.47,30.45,54.03,7.34,136.1
25,214.1,48.1,30.44,79.98,9.19,130.32
26,194.74,49.06,30.45,60.67,8.19,135.36
27,239.91,49.89,30.43,31.69,8.69,133.34
28,174.91,45.15,30.38,86.79,7.18,134.34
29,125.02,43.57,30.33,89.27,4.68,130.92
30,88.37,45.09,30.31,82.31,4.59,222.13
31,144.29,46.25,30.31,83.3,7.43,265.13
