Day,Radiation,Temperature,Pressure,Humidity,Speed,WindDirection(Degrees)
1,298.45,54.56,30.44,78.97,6.4,112.56
2,333.47,56.38,30.45,72.5,5.8,115.39
3,123.97,55.51,30.44,94.6,4.96,192.68
4,153.58,53.59,30.45,93.88,5.18,126.34
5,306.07,53.2,30.42,79.94,5.83,209.17
6,310.64,52.09,30.4,75.52,5.5,117.12
7,151.37,49.24,30.42,69.13,5.02,133.44
8,25.11,45.56,30.41,80.54,4.81,146.05
9,19.14,45.48,30.37,97.03,4.5,134.15
10,100.91,50.05,30.38,91.96,4.91,140.13
11,177.77,52.84,30.47,84.68,4.5,124.44
12,154.79,54.26,30.49,85.52,4.59,176.92
13,182.68,55.77,30.44,82.83,4.5,206.36
14,172.34,53.5,30.43,89.52,4.61,128.48
15,39.83,49.76,30.43,97.39,4.03,172.69
16,308.81,55.44,30.47,92.98,7.37,120.4
17,195.96,55.33,30.47,91.52,6.28,120.63
18,265.98,54.83,30.45,81.5,5.08,121.75
19,335.5,57.24,30.43,43.09,5.55,119.88
20,301.46,53.7,30.4,67.71,5.09,103.89
21,287.82,51.92,30.4,87.27,6.2,111.82
22,325.52,57.42,30.42,62.98,8.06,133.15
23,140.52,54.92,30.45,94.48,4.76,118.96
24,186.62,54.64,30.47,88.41,4.1,137.16
25,319.92,54.24,30.46,60.92,5.95,143.65
26,263.81,51.16,30.42,71.12,6.93,124.71
27,220.85,53.4,30.38,82.72,4.79,120.46
28,312.4,54.54,30.4,72.47,6.03,120.57
29,311.67,53.81,30.44,57.62,5.92,127.18
