Day,Radiation,Temperature,Pressure,Humidity,Speed,WindDirection(Degrees)
1,203.76,50.02,30.47,50.88,6.02,131.7
2,277.24,51.68,30.45,34.57,6.8,132.56
3,271.84,53.87,30.43,36.43,6.1,130.9
4,271.21,53.61,30.45,39.21,6.34,135.01
5,270.29,54.2,30.47,31.48,8.24,125.39
6,251.91,55.43,30.47,35.96,6.87,162.51
7,257.21,53.37,30.44,39.64,6.11,188.52
8,176.27,50.82,30.42,68.39,4.23,138.78
9,254.46,52.66,30.44,62.33,5.97,253.72
10,206.55,53.44,30.45,47.49,5.04,188.39
11,252.37,54.45,30.48,50.13,5.8,117.99
12,242.45,52.35,30.47,65.55,5.05,119.26
13,257.94,49.86,30.45,67.33,6.29,117.86
14,179.55,49.55,30.46,77.22,6.08,115.75
15,215.36,49.74,30.46,69.94,8.23,134.96
16,259.86,54.51,30.44,30.94,9.97,140.9
17,242.1,54.66,30.43,23.44,9.05,131.36
18,216.23,50.94,30.42,60.3,7.06,131.64
19,229.31,49.77,30.43,70.39,7.79,126.29
20,184.91,49.9,30.43,98.89,7.19,106.23
21,197.46,50.02,30.42,92.66,6.7,116.82
22,145.49,45.91,30.42,98.02,5.85,109.47
23,222.26,46.0,30.43,89.33,6.95,125.87
24,181.43,46.21,30.47,90.26,7.29,127.17
25,187.58,47.25,30.47,96.51,8.14,124.65
26,231.42,48.29,30.45,62.06,8.66,119.58
27,239.65,48.5,30.46,78.17,7.63,119.51
28,249.22,49.21,30.44,54.32,6.32,125.04
29,193.29,45.49,30.42,93.54,6.98,121.8
